job_link,job_title,company_name,company_location,salary,job_type,rating,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=21532c9b60dd56f4&fccid=6e4256e6498f3651&vjs=3,Sr. AI/ML Engineer,Dealpath,"Hybrid remote in San Francisco, CA",178000,Not available,Not available,"Build robust data and ML pipelines.,You will work closely with cross-functional teams, especially product management to define and build ML solutions to enhance…",Generative AI,California
https://www.indeed.com/rc/clk?jk=50f422f50a42cbe1&fccid=36059381e5a120da&vjs=3,Product marketing manager,Writer,Remote in California,140000,Full-time,Not available,"In this strategic role, you'll build a deep understanding of the product and customer: who they are, their pain points, and how Writer solves their pain.",Generative AI,California
https://www.indeed.com/rc/clk?jk=fbc0895f481e4028&fccid=f65c645f85fd81bf&vjs=3,Content Lead,Sunrise,"San Francisco Bay Area, CA",95750,Full-time,3.6,"Understanding and use of (generative)AI tools: Familiarity with , , tools and platforms, and the ability to leverage them in content creation to…",Generative AI,California
https://www.indeed.com/rc/clk?jk=726b506fee1f2795&fccid=36059381e5a120da&vjs=3,Implementation consultant,Writer,Remote in California,86750,Full-time,Not available,"Weeks are tough, but weekends are sacred.,Our Product is adopted across an Organization so we need someone who is comfortable in a complex customer relationship…",Generative AI,California
https://www.indeed.com/rc/clk?jk=3d5a25724e798136&fccid=7ceeabf7dfa027b9&vjs=3,Customer Success Manager (2+ years of experience ),EvenUp Inc.,"Remote in San Francisco, CA",79000,Full-time,Not available,"We’ve now hired 2 all-star CSMs and are looking to bring on 1 more who can help develop customer engagement plans, execute customer growth initiatives, and…",Generative AI,California
https://www.indeed.com/rc/clk?jk=3fff86ab22c1d230&fccid=dd616958bd9ddc12&vjs=3,"Lab Technician/Research Associate, Protein Engineering",Diffuse Bio,"San Carlos, CA 94070",Not available,Full-time,Not available,"Extend and scale Diffuse's in-house deep , modeling toolkit for.,Full-time, part-time, and internships available.",Generative AI,California
https://www.indeed.com/rc/clk?jk=9c63ef4cba33cbee&fccid=d9330ddfbacbdb4f&vjs=3,Technical Writer,"Shoreline Software, Inc.","Remote in Redwood City, CA 94063",110000,Full-time,Not available,"Shoreline is helping improve availability and the customer experience while reducing toil for site reliability engineers.,Fluent in written and spoken English.",Generative AI,California
https://www.indeed.com/rc/clk?jk=fbbda6313a4af9ae&fccid=5e964c4afc56b180&vjs=3,Digital Contact Solutions Manager,PRICE WATERHOUSE COOPERS,"Los Angeles, CA",165500,Not available,3.9,"We focus on a collection of organisational technology capabilities, including business intelligence, data management, and data assurance that help our clients…",Generative AI,Los Angeles
https://www.indeed.com/rc/clk?cmp=Yami&ti=E-commerce+Manager&jk=fded4db444294258&fccid=1224bbb94d77e83a&vjs=3,Full time E-commerce Site Merchandising Manager,Yami,"Brea, CA 92821",100000,Full-time,3.3,"Assess, adopt, integrate, and use , , services to create compelling SEO-friendly content.,You will have a real impact on shaping merchandising…",Generative AI,Los Angeles
https://www.indeed.com/rc/clk?jk=5a239b8382d193e8&fccid=0cdd855568d32f57&vjs=3,"Senior Research Scientist, Generative AI",Scanline VFX,"Hybrid remote in Los Angeles, CA",Not available,Not available,3.1,"As a Senior Research Scientist, you will develop new technologies to revolutionize live-action content creation and storytelling.",Generative AI,Los Angeles
https://www.indeed.com/rc/clk?jk=0e114a9307ecdcf1&fccid=3dca16b836aab3f7&vjs=3,Mid-Market Account Executive - SoCal,Aisera,"Remote in Los Angeles, CA",Not available,Not available,Not available,"Aisera is the , , space focused on creating a ChatGPT experience for Enterprise applications.,Aisera fast tracks the digital transformation journey…",Generative AI,Los Angeles
https://www.indeed.com/rc/clk?jk=e9acf80ee94bc041&fccid=a405bb66021781c9&vjs=3,"Principal Engineer, Data Science & Operations Research",Cargomatic,"Long Beach, CA",195000,Full-time,3.3,"Build an expert network of internal & external stakeholders to drive , innovation, build an impactful roadmap and deliver measurable results.",Generative AI,Los Angeles
https://www.indeed.com/rc/clk?jk=7c597efe520866c2&fccid=a567b55ccef8e9fe&vjs=3,Applied Scientist (Neural Rendering/Vision),Flawless AI,"Santa Monica, CA",187500,Full-time,Not available,"MS or Ph.D. in Visual Computing, Computer Vision, Machine Learning, or related field.,3+ years of industry or research experience with deep learning and…",Generative AI,Los Angeles
